title,genres,rating,scored_by,members,weighted_avg,norm_weighted_avg,norm_members,score
Doraemon Obaachan no Omoide,"['Comedy', 'Fantasy', 'Kids', 'SciFi', 'Shounen']",7.45,511,1127,6.950575172127968,0.5070444472457605,8.685420281283535e-05,0.25356565072428666
Monster Farm Legend e no Michi,"['Action', 'Adventure', 'Comedy', 'Fantasy']",6.85,4566,8920,6.926289786788996,0.5016602218319828,0.005458717714879711,0.25355946977343125
Soukou Kihei Votoms Kakuyaku taru Itan,"['Drama', 'Mecha', 'Military', 'SciFi']",7.14,919,2119,6.94742729115121,0.506346541879301,0.0007706587201964283,0.2535586002997487
Kindaichi Shounen no Jikenbo Specials,"['Mystery', 'Shounen']",7.36,544,1505,6.949296280770984,0.506760908843976,0.0003474168112513416,0.25355416282761367
The iDOLMSTER Cinderella Girls 2nd Anniversary PV,['Music'],7.03,1153,3110,6.944282997466509,0.5056494318384575,0.0014537739185100783,0.2535516028784838
Majin Bone,['Game'],6.79,1813,7668,6.930086712483538,0.5025020245678022,0.004595690239310902,0.2535488574035566
AChannel Nabe wo Tabeyou,"['Comedy', 'School', 'Seinen', 'SliceofLife']",6.97,803,4082,6.941235624969443,0.5049738098454386,0.002123792054494808,0.2535488009499667
Monster Hunter Stories Ride On,['Fantasy'],6.34,830,10618,6.920905460035202,0.5004664821181912,0.006629181495643159,0.2535478318069172
One Piece Long Ring Long Landhen,"['Action', 'Adventure', 'Comedy', 'SuperPower', 'Drama', 'Fantasy', 'Shounen']",6.94,960,4376,6.94029482979816,0.5047652295326421,0.0023264518610580914,0.2535458406968501
Hamatora The Animation Saishuukai Chokuzen Mao ga Okuru,"['Mystery', 'Comedy', 'SuperPower']",6.86,1347,5678,6.936177372046324,0.5038523627875544,0.0032239452901240574,0.2535381540388392
Ohoshisama no Rail,"['Drama', 'Historical']",7.29,566,1841,6.948093028055333,0.5064941400132419,0.000579028018752236,0.25353658401599705
Mister Ajikko,"['Comedy', 'Shounen']",7.24,462,2566,6.945775817751146,0.5059803996531558,0.001078784344461011,0.25352959199880837
Lupin III Princess of the Breeze  Kakusareta Kuuchuu Toshi,"['Action', 'Adventure', 'Comedy', 'Seinen']",7.04,1166,2853,6.944773973822788,0.505758284440059,0.0012766189175346919,0.25351745167879686
Chibi Marukochan 1995,"['Comedy', 'Kids', 'School', 'SliceofLife']",7.3,562,1714,6.9482603507376215,0.5065312365231678,0.0004914844968694574,0.2535113605100186
Grappler Baki,"['Action', 'Sports', 'MartialArts', 'Shounen']",6.9,3030,5677,6.93592608207803,0.5037966501927311,0.0032232559710541142,0.2535099530818926
Viewtiful Joe,"['Action', 'SciFi', 'Comedy', 'Shounen']",6.86,3083,7111,6.931443419260147,0.5028028151463213,0.004211739517352574,0.2535072773318369
Pretty Rhythm Dear My Future,"['SliceofLife', 'Sports', 'Music', 'Shoujo']",6.93,1365,4433,6.939769624739334,0.5046487882085411,0.0023657430480448502,0.25350726562829295
ID0,"['SciFi', 'Space', 'Mecha']",6.78,4134,11602,6.917443411199676,0.4996989237260223,0.007307471460467207,0.25350319759324474
Kindaichi Shounen no Jikenbo Movie 1 Operazakan  Aratanaru Satsujin,"['Mystery', 'School', 'Shounen']",7.19,695,2053,6.9470990247743805,0.5062737631218737,0.0007251636615801813,0.2534994633917269
Cobra The Animation Time Drive,"['Action', 'Adventure', 'Space', 'SciFi']",7.05,1222,2579,6.945447154877851,0.5059075329899234,0.001087745492370272,0.2534976392411468
Masou Gakuen HxH Specials,"['Harem', 'Ecchi']",6.76,3743,11823,6.916704838774201,0.49953517749067755,0.00745981097492464,0.2534974942328011
Utawarerumono Tusukurukoujo no Karei Naru Hibi,"['Action', 'Drama', 'Fantasy']",7.15,41,4119,6.940651591828935,0.5048443259589892,0.002149296860082705,0.25349681140953595
Crayon Shinchan Movie 11 Arashi wo Yobu Eikou no Yakiniku Road,"['Action', 'Adventure', 'Comedy', 'Seinen']",7.21,769,1617,6.9484008635706385,0.5065623891178632,0.00042462054708497293,0.25349350483247407
Tantei Opera Milky Holmes Movie Gyakushuu no Milky Holmes,"['Comedy', 'Mystery', 'SuperPower']",7.15,704,2361,6.946082680747375,0.5060484331440716,0.0009374739351226678,0.2534929535395971
Mermaid Forest OVA,"['Drama', 'Fantasy', 'Horror', 'Mystery']",6.93,1923,4448,6.9395660239966865,0.504603648620368,0.002376082834093997,0.253489865727231
Sora no Method Aru Shoujo no Kyuujitsu,"['SliceofLife', 'Fantasy', 'Comedy']",6.89,2600,5708,6.935541712712134,0.5037114330434356,0.0032446248622223514,0.25347802895282895
Urusei Yatsura Movie 6 Itsudatte My Darling,"['Action', 'SciFi', 'Adventure', 'Comedy', 'Drama', 'Romance']",6.99,1281,3392,6.942742113698898,0.5053078080418636,0.001648161896234043,0.25347798496904883
Yawara Special Zutto Kimi no Koto ga... .,"['Action', 'Comedy', 'Drama', 'MartialArts', 'SliceofLife', 'Sports']",7.42,486,1215,6.9495069975655746,0.5068076261064245,0.00014751428096783153,0.25347757019369616
ACCA 13ku Kansatsuka Specials,"['SliceofLife', 'Seinen']",6.87,542,4649,6.938805640883197,0.5044350668158499,0.0025146359671525675,0.2534748513915013
